Series Name	Series Code	Country Name	Country Code	1990 [YR1990]	2000 [YR2000]	2013 [YR2013]	2014 [YR2014]	2015 [YR2015]	2016 [YR2016]	2017 [YR2017]	2018 [YR2018]	2019 [YR2019]	2020 [YR2020]	2021 [YR2021]	2022 [YR2022]
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Afghanistan	AFG	..	..	608.386331910323	602.516600325407	592.476164793256	590.427367421378	588.930080331481	578.985544847804	584.386515325947	553.036131033118	426.229401276432	..
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Albania	ALB	1606.29647201533	1960.88246493025	3780.69920254585	3855.76075430011	3952.80358410846	4090.37273911621	4249.82006064482	4431.55560679714	4543.38772250631	4418.66088547605	4857.11195487159	5158.50912786813
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Algeria	DZA	3153.47581970758	3138.23000861214	4057.76479352226	4129.42253508345	4197.41997101868	4246.24215972733	4218.08230492189	4188.2203709479	4153.00344111131	3873.50873277078	3939.36085126425	3995.88188543925
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	American Samoa	ASM	..	..	12098.2751505435	12494.9802110307	13101.5418159165	13116.4309769201	12442.8576653719	13049.3301536176	13288.3565565116	14303.6270325756	14396.3685581274	..
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Andorra	AND	30578.0600036328	33901.1769747473	37597.7053326941	38402.6492625923	38885.5303237179	39886.6400858717	39321.6143104893	39320.0924477975	39413.7908792259	34394.4140409799	36616.1007622181	39447.519717091
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Angola	AGO	2254.75489664156	1840.35382835349	3152.51580772684	3185.00970610559	3100.83068530533	2914.41213130922	2808.59871467039	2677.24983283563	2569.70165067457	2346.84601909898	2300.97461359713	2298.74831182791
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Antigua and Barbuda	ATG	11727.1092924402	14247.973013193	14015.8793149044	14427.4069090612	14861.8827074704	15570.9040636643	15962.7288681322	16957.632679588	17599.9687156255	14433.8797969677	15288.4378783717	16485.441643494
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Argentina	ARG	8144.49429397801	10672.7220353121	14071.5086831557	13567.9484159809	13789.060424772	13360.2118345982	13595.0373551081	13105.397163317	12716.2242038544	11341.2683655863	12402.4907912317	12932.4695302972
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Armenia	ARM	1641.98314685456	1249.61213037405	3402.08385754089	3538.52939541716	3666.14182536082	3689.83008540677	3985.91670188717	4215.89939814463	4561.96780299386	4256.13123162961	4522.31904517941	5111.3700275117
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Aruba	ABW	24007.4957081744	29005.9333738747	27821.7915999069	27624.3773003771	28421.3864931862	28852.2370667381	30270.9416008153	31705.2788242026	31762.7339603086	25823.6349408072	30271.833634046	..
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Australia	AUS	36964.6724453489	45892.6103705542	55727.7341473215	56318.6359789436	56708.96119674	57354.5498137682	57701.5238528086	58479.5035467805	58868.4806341229	58115.9306675109	59339.6843453605	60797.9586475866
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Austria	AUT	31340.6812927165	38842.8905195831	44299.3781845446	44245.1687398338	44195.8175947748	44590.2516278164	45281.723399938	46154.6250956541	46647.0809634335	43455.7000665738	45238.3907144733	47043.3432250759
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Azerbaijan	AZE	2820.84060264249	1480.80895297437	5426.09690251674	5506.18267114344	5500.50462041954	5270.7390991554	5229.71081603592	5262.36963669485	5348.45413572489	5083.56115475155	5345.44081113132	5571.73282660707
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bahamas, The	BHS	31352.3820787019	32300.8120346595	29425.8000214671	29701.2903627666	29724.9533355233	29459.05220928	29940.4184659759	30181.1840587486	29760.3414026944	22657.0351560435	26412.0121121765	30054.0389556466
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bahrain	BHR	17405.8852025117	21713.5380502274	23012.7083415266	23107.9565925844	22795.4488576612	22810.7749240924	23019.2557426695	23023.1197800625	23414.2190743533	22579.3620055846	23407.195851022	24395.4724708891
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bangladesh	BGD	493.095074760365	646.037766238482	1120.68533925027	1173.89300498245	1236.00439770048	1307.73233342295	1376.60346975864	1460.30423385385	1557.96433416698	1593.34740671711	1684.43348669953	1784.7388872872
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Barbados	BRB	15169.4850562896	16698.0610545825	16667.7383770438	16615.5054382111	16990.2194668498	17385.2007497069	17430.8732103088	17220.9310014747	17168.1456868491	14855.6898587069	14800.8381460905	16255.6267543271
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Belarus	BLR	2890.54014242294	2616.927456409	6110.93844256071	6212.93642966941	5967.0691848005	5811.2511478803	5964.91498711041	6165.95853198263	6267.76579524677	6252.00947341656	6457.75194571688	6217.14729162103
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Belgium	BEL	29441.6621481593	35674.7912530713	39970.3174974794	40421.4207919096	41008.296719472	41318.0196388476	41825.7628316432	42382.3182763247	43107.214821718	40620.1042151159	42971.0580381855	44075.8614379326
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Belize	BLZ	4185.20749157251	5693.74148475752	5960.36040094913	6069.46147957835	6142.47883269283	6024.83594539496	5806.06544944251	5756.8522488581	5907.34887238917	5040.12252132539	5733.10257369081	6345.32283061288
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Benin	BEN	771.075863965352	888.730184630442	1020.52823405078	1054.10876660986	1041.65252315982	1045.1509365758	1072.36196622085	1111.22724012239	1153.72620998081	1164.70896658457	1214.07758989942	1255.60729259079
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bermuda	BMU	86436.2343086978	109001.586029756	105492.480708055	101374.469787793	102005.62564189	102407.394383438	107237.031768386	106697.737486296	107036.239271085	99745.2416064214	102959.254883442	106359.970454024
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bhutan	BTN	747.236037203709	1115.6253258233	2436.85976248413	2551.4830545474	2695.63690417126	2889.49386564098	2998.47318527529	3065.85352500394	3219.64143919345	2878.43570726731	2976.90441988089	..
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bolivia	BOL	1687.44272404907	2017.39460861999	2777.72053240937	2882.80689613638	2975.64881143063	3054.89254761291	3135.031645714	3219.20089192093	3242.94884532224	2920.19744733394	3061.73861340573	3118.39639591087
GDP per capita (constant 2015 US$)	NY.GDP.PCAP.KD	Bosnia and Herzegovina	BIH	..	2554.56463864982	4297.49435675117	4403.6747965475	4654.60955224718	4865.35226465379	5082.99827149914	5339.47813723954	5558.08255264153	5459.22072225122	5947.82050897417	6251.10331522426
